2E0AGB,Allen
DF4JG,Ulrich (Uli)
DF4JO,Reiner
DF4PD,Will
DF4PL,Fred
DF4TD,Reinhard
DF4XG,Wolfgang
DF4XX,Kurt
DF4ZU,Harald
DF5AC,Norbert
DF5AN,Hans
DF5CT,Kurt
DF5DW,Ulrich
DF5LQ,Claus
DF5MA,Andy
DF5UL,Manfred (Fred)
DF5WA,Bert
DF5WBA,Wolfgang
DF5WN,Eckhard
DF5WW,Juergen
DF6EX,Manfred
DF6LI,Klaus-Dieter
DF6NW,Freddy
DF6QB,Norbert
DF6QE,Ersin
DF6QP,Ulla
DF6RI,Alfred
DF6SU,Stefan
DF6VU,Steffan
DF6XP,Joerg
DF6YF,Bernhard
DF7AT,Gregor
DF7DR,Danny
DF7DRL,Danny
DF7FE,Pit
DF7FF,Johannes
DF7FTU,no name
DF7FX,Harry
DF7GG,Wilhelm 
DF7GK,Rainer
DF7GX, DLFF-0124
DF7IS,Klaus
DF7IW,Denis
DF7NS,Manfred
DF7OA,Frank
DF7PN,Wolfgang
DF7TH,Joe
DF7TT,Juergen
DF7XH,Rolf
DF8AB,Marius
DF8FOX,Matthias
DF8IF,Michael
DF8KKT,no name
DF8KY,Joe
DF8KY,Karl-Josef
DF8SB,Hartmunt
DF8TM,Albrecht
DF9DX,Frank
DF9GH,Harald
DF9GU,Bernd
DF9HJ,Jens
DF9IR,Erich
DF9OB,Bernd
DF9PE,Hans juergen dlff-0114
DF9QN,Lutz
DF9TF,Richard
DF9ZV,German-Railway-Ham Stn
DG0DE,Wolgang
DG0DRF,Erich
DG0ERS,Enrico
DG0JMB,Joerg
DG0NE,Holger
DG0UHF,Rainer
DG1BHA,Heiko
DG1KJG,Juergen
DG1NPM,Norbert (Norbi)
DG1SGW,Klaus
DG1YBN,Harald
DG2AT,Jan
DG2BBE,Rolf
DG2HAM,Michael
DG2LAB,Klaus
DG2MEL,Wolfgang
DG2RON,Ronny (Ron) 
DG2SBL,Richard
DG2US,Frank
DG3FFM,Jens
DG3FW,Heinz
DG3YCC,Christian
DG4FCN,Ingolf
DG4FQ,Rainer
DG4GAU,Albert
DG4GEM,Erwin
DG4KAI,Kai
DG4KAL,Dieter
DG4RBS,Stefan
DG5DAN,Stefan
DG5DBT,Wolfgang
DG6CA,Armin
DG6FAX,Wilfried
DG6PY,Peter
DG7ACF,Peer-Olof
DG7EE,Guenther
DG8OP,Guenther
DG9BFE,Marc
DG9MDM,Richard
DG9NED,Axel
DG9VH,Kim
DH0DK,Bernd
DH0DX,Bernd
DH0MAX,Franz
DH1JH,Joachim
DH1PAL,Werner
DH2FW,Frank
DH2KK,Klaus
DH2PL,Peter
DH2URF,Richard
DH3MD,Fred
DH3SW,Wolfgang
DH4JU,Gert
DH4NWG,Martin
DH4PB,Sylvester
DH4PSG,Peter
DH4TOM,Thomas (Tom)
DH5AS,Frank
DH5KLI,Klaus
DH5WB,Wilfried
DH6DAO,Reinhard
DH6RD,Dietmar
DH6RS,Ralf
DH6YMC,Christian
DH7AMF,Peter
DH7FK,Felix
DH7KU,Csaba
DH7WW,Uli
DH8DX,Daniel
DH8MS,Mykola
DH8WN,Ludwig
DH9BAJ,Johann (John) 
DH9FAV,Holger
DH9SB,Marek
DJ0AH,Enver
DJ0AJ,Ekrem
DJ0AQ,Kazimierz
DJ0FX,Walter
DJ0GD,Peter
DJ0HV,Enzo
DJ0MEW,Bert
DJ0SP,Johannes
DJ0YI,Ben
DJ0YZ,Zvonko
DJ1AA,Mirko
DJ1EH,Meinhard
DJ1FE,Laurenz
DJ1KJ,Hans
DJ1KS,Edgar
DJ1ND,Klaus
DJ1PQ,Robert
DJ1SD,Joachim
DJ1SJ,Manfred
DJ1WW,Werner
DJ1YF,Arno
DJ1YFK,Fabian
DJ2AX,Peter
DJ2BH,Horst-Dieter
DJ2DW,Volker
DJ2EM,Hans
DJ2FR,Frank
DJ2IA,Dieter
DJ2II,Harald
DJ2IO,Dietrich
DJ2MX,Mario
DJ2OS,Peter
DJ2PJ,Hadi
DJ2QV,Mike
DJ2SX,Daniel
DJ2UU,Hansgeorg
DJ3AX,Lutz
DJ3CQ,Juergen
DJ3DQ,Juergen
DJ3EF,Eberhard
DJ3EI,Andreas
DJ3FE,Hans-juergen
DJ3GG,Rudi
DJ3GS,Gerd
DJ3JB,Klaus
DJ3NJ,Dietmar
DJ3RA,Axel
DJ3SM,Winfried
DJ3WE,Rudy
DJ3XA,Harald
DJ3XD,August
DJ3XG,Rug
DJ4BG,Dietrich
DJ4DY,Bruno
DJ4EY,Juergen
DJ4GU,Hans
DJ4GX,Pit
DJ4KW,Gerd
DJ4LK,Roland (Rod)
DJ4MA,Anna
DJ4MJ,Willi
DJ4MX,Sven
DJ4NQ,Joe
DJ4VP,Fritz
DJ4WJ,Valentin
DJ5AA,Joachim
DJ5AV,Michael
DJ5AZ,Manfred
DJ5CL,Ingo
DJ5ED,Karl-Heinz
DJ5MF,Walter
DJ5MW,Manfred
DJ5RE,Thomas
DJ5VY,Werner
DJ5ZP,Karl-Heinz
DJ6CB,Dietrich
DJ6FO,Dieter
DJ6IH,Alfred
DJ6MI,Ekkehard
DJ6MN,Klaus
DJ6NI,Guenter
DJ6NS,Manfred
DJ6OK,Oliver
DJ6OZ,Hos
DJ6TB,Thomas
DJ6TF,Thomas
DJ6TK,Wilf
DJ6XG,Georg
DJ6ZC,Dieter
DJ6ZM,Tof
DJ7A,Clubstation
DJ7AL,Juergen
DJ7AO,Stefan
DJ7AO,Steve
DJ7AS,Siegfried
DJ7BU,Dieter
DJ7DH,Klaus
DJ7OM,Paul
DJ7RK,Hansp
DJ7UD,Klaus
DJ7UO,Siegfried
DJ7ZG,Lot
DJ8AP,Werner
DJ8BD,Adolf
DJ8CR,Willi
DJ8HH,Sascha
DJ8JK,Name unkown
DJ8QP,Kolja
DJ8RP,Harald
DJ8SW,Werner
DJ8VC,Alfons
DJ8WO,Dieter
DJ9AJ,Hans-Guenter
DJ9BX,Mike
DJ9EU,Uli
DJ9FAV,Holger
DJ9FB,Wolfgang
DJ9FX,Klaus
DJ9IE,Ulrich (Uli)
DJ9MH,Hajo
DJ9OI,Jochaim (Joe)
DJ9QE,Gerg
DJ9RG,Alfred
DJ9UN,Werner
DJ9XJ,Hans Georg
DK0AC,Club Stn. DARC OV Aachen
DK0CEU,Special Event Station
DK0EE,Club Station
DK0FCK,Clubstation OV K16
DK0FL,OV-Flensburg
DK0HF,Clubstation DOK N08
DK0IK,Darc hamburg flughafen
DK0IN,Club station
DK0LT,Club Station
DK0MV,Clubstation Cottbus
DK0NL,Club Station DLFF-0110
DK0OA,Clubstation
DK0RPO,Club station darc
DK0WK,Club Station
DK0WRTC,World Radiosport Team Ch.
DK1AX,Klaus
DK1BN,Walter
DK1DU,Ben
DK1HCU,Udo
DK1HE,Peter
DK1HJ,Hannes
DK1HKU,Horst
DK1HW,Wolfgang
DK1IO,Reinhard
DK1KQ,Uwe
DK1MAX,Max
DK1MHW,Hans
DK1OU,Fritz
DK1PU,Ulrich
DK1QG,Christian
DK1QQ,Dieter
DK1RT,Bernd
DK1TX,Siggi
DK1UJ,Josef
DK1VB,Rainer
DK1WI,Erhard
DK1WU,Johannes
DK1YP,Dieter
DK2AY,Bernd
DK2CX,Markus
DK2DL,Werner
DK2DO,Wolfgang
DK2DQ,Guenter
DK2EF,Karin
DK2FE,Leonard
DK2FG,Peter
DK2FK,Fabian
DK2GP,Karl-Heinz
DK2HZ,Wolfgang
DK2JK,Bert
DK2JX,Gerhard
DK2KV,Wolfgang
DK2MT,Volker
DK2MU,Karl-Heinz
DK2NG,Peter
DK2NVA,Gunter
DK2QF,Manfred
DK2RMP,Peter
DK2RM,Roland
DK2RO,Robert
DK2RZ,Wolfgang (Wolf)
DK2SZ,Klaus
DK2TA,Gert
DK2VN,Manfred
DK2VV,Siegfried
DK2WM,Karl-Heinz
DK2YCT,Christian
DK3CC,Karl
DK3CW,Jakob
DK3DG,Gottfried
DK3DUA,Thomas
DK3EE,Thomas
DK3GH,Ralf
DK3GP,Peter
DK3HM,Heinz
DK3IC,Willi
DK3IP,Philipp
DK3IT,Martin
DK3RV,Walter DLFF-0110
DK3SJ,Juergen
DK3WL,Wolfgang
DK3WM,Werner
DK3WW,Uwe
DK3WX,Bernd
DK3XG,Dietmar
DK4AN,Wang
DK4CD,Hubert
DK4CU,Guenther
DK4DF,Richard
DK4DS,Theodor
DK4HH,Andreas
DK4LX,Holger
DK4MO,Peter
DK4PE,Lutz
DK4QK,Richard
DK4RM,Xaver
DK4RW,Wolfgang
DK4SR,Stojan
DK4ST,Bruno
DK4TS,Theodor
DK4UA,Manfred
DK4VF,Dieter
DK4WF,Ben
DK4WO,Andy
DK4WW,Uwe
DK5AF,Alfred
DK5AL,Juergen
DK5BJ,Alfred
DK5HB,Karl
DK5KF,Wolfgang
DK5KK,Kolja
DK5KMA,Kevin
DK5OH,Tim
DK5RK,Rainer
DK5STM,Joerg
DK5WL,Heinz-Josef
DK5ZI,Hans-Dieter
DK5ZX,Dieter
DK6AJ,Juergen
DK6DD,Drago
DK6HS,Sven
DK6IT,Rolf
DK6JKB,Win
DK6JT,Wolfgang
DK6NJ,Helmut
DK6OB,Herbert
DK6OK,Det
DK6SX,Willi
DK6WH,Willi
DK6WL,Helmut
DK6YM,Sebastian
DK7DU,Daniel
DK7FH,Frank
DK7FX,Edmund
DK7FZ,Hajo
DK7JQ,Dietmar
DK7JZ,Hardy
DK7LX,Georg
DK7MC,Friedrich
DK7MG,Andreas
DK7MG,Andy
DK7OG,Andy
DK7QY,Hans
DK7RC,Wast
DK7TX,Oliver
DK7ZH,Manfred
DK7ZT,Bernd
DK8AI,Peter
DK8CX,Arnim
DK8ES,Erich
DK8FA,Ralf
DK8IJ,Norbert
DK8IZ,Heinz
DK8LG,Frank
DK8NM,Otto
DK8NW,Christian
DK8PX,Peter
DK8SV,Manfred
DK9AP,Siegmar
DK9ES,Norbert
DK9HE,Andreas
DK9HN,Walter
DK9JC,Johnny
DK9LO,Klaus
DK9NM,Heinz
DK9PD,Georg
DK9PY,Armin
DK9WI,Rolf
DL0ABT,DARC-Clubstation
DL0AD,Stephan
DL0AF,Radio Telegraphy Clubstn
DL0AM,Club Station
DL0AVH,Pfadfinder Klubstation
DL0BQ,DARC OV
DL0CUX,Clubstation
DL0DP,Clubstation Wuerzburg
DL0DSE,Clubstation DIG
DL0FBG,Club Station
DL0FFF,Club Station
DL0FMC,S.F.B. Morse Club
DL0FTL,Club Station OV Freital
DL0FTZ,Manfred
DL0GL,Club Station
DL0GMA,GMA Klubstation
DL0GY,DARC Club Stn. OV Herne
DL0GZ,Paul
DL0HSC,Wolf
DL0IL,Ben
DL0IL,DARC OV Leverkusen
DL0ING,Club Station
DL0KJ,Christofer
DL0MCM,Club Station
DL0PAS,Club Station
DL0QW,Pario
DL0SA,Siemens Ham Radio Club
DL0VK,Club Station Telekom
DL1ABJ,Harlad
DL1AH,Kai-Uwe
DL1AIW,Alexander
DL1AKP,Andy
DL1AKU,Egon
DL1AKZ,Martin
DL1ALN,Tom
DL1ARH,Ota
DL1ASA,Thomas
DL1ASF,Klaus DLFF-0127
DL1ASP,Alexander
DL1ATN,Joerg
DL1AU,Helmut
DL1AVK,Bernd
DL1AWC,Wolfgang
DL1AXX,Sebastian
DL1AZG,Guenther
DL1AZZ,Sigi
DL1BDF,Mustapha
DL1BFR,Franz
DL1BJA,Klaus
DL1BLL,Hans
DL1BUC,Wolf
DL1BWU,Wulf
DL1BXZ,Joerg-peter
DL1BZA,Hans-Joachim
DL1CBQ,Markus
DL1CF,Heinz
DL1CL,Hans
DL1CR,Chris
DL1CWM,Konrad
DL1DA,Kurt
DL1DBR,Martin
DL1DEJ,Eugeniusz
DL1DGS,Sergei
DL1DLF,Joerg
DL1DQJ,Didy
DL1DRB,Angelika
DL1DR,Juerg
DL1DSW,Dieter
DL1DTC,Matthias
DL1DTL,Klaus
DL1DTX,Knut
DL1DUL,Manfred
DL1DUS,Andreas
DL1DVE,Thomas
DL1DVE,Tom
DL1DXA,Uli
DL1EA,Rolf
DL1EBR,Axel
DL1EFW,Marek
DL1EJA,Oliver
DL1EJG,Jan
DL1EKO,Tony
DL1FDL,Dietmar
DL1FI,Hans
DL1FU,Frid DLFF-0079
DL1FUK,Frid
DL1GBQ,Eberhard
DL1GHT,Theo
DL1GKC,Christian
DL1GQE,Erich
DL1GRC,Sascha
DL1GWW,Wolfgang
DL1GZW,Hans-Werner
DL1HAA,Gerd
DL1HA,Harald
DL1HBL,Claus
DL1HBT,Thomas
DL1HQE,Guenter
DL1HRM,Mic
DL1HRN,Juergen
DL1HSI,Sig
DL1HSY,Klaus
DL1IAO,Stefan
DL1II,Michael
DL1IP,Karl
DL1JBO,Siegmar (Sig)
DL1JCP,Cathrin
DL1JDT,Bernd
DL1JEE,Frank
DL1JEL,Steffen
DL1JEQ,Jens
DL1JKK,Klarl
DL1KUR,Gerhard (Ger) 
DL1LQR,Roland
DL1LSH,Hannes
DL1LSO,Gerhard
DL1LSP,Peter
DL1MBG,Volker
DL1MDU,Ernst
DL1MDV,Hans
DL1MRL,Marcel
DL1NA,Bernd
DL1NCH,Jacek
DL1NDY,Stefan
DL1NFF,Karl
DL1NKS,Stefan
DL1NRC,Peter
DL1PL,Lothar
DL1QC,Karsten
DL1QP,Willi
DL1RNL,Hans
DL1RNN,Lutz
DL1ROT,Thomas
DL1RTD,Werner
DL1SBF,Lothar
DL1SKB,Klaus
DL1STG,Stefan
DL1SUS,Rolf-guenther
DL1SWB,Dieter
DL1SWN,Peter
DL1SWT,Thomas (Tom)
DL1SYL,Traudel
DL1THB,Harald
DL1TPY,Kurt
DL1UNK,Uwe
DL1VDL,Hartmund
DL1VJL,Wolfgang
DL1VTL,Guenter
DL1VVQ,Lothar
DL1WA,Frank
DL1WG,Gert
DL1XD,Achim
DL1YAL,Steve
DL1YCF,Christoph
DL1YCG,Andreas
DL1YEG,Uwe
DL1YFF,Hans-Juergen
DL2AAW,Peter
DL2AAZ,Reiner
DL2AJB,Jens
DL2AKV,Michael
DL2AMD,Rainer
DL2AMF,Reinhard
DL2AMT,Juergen
DL2ANM,Heinz
DL2ARD,Oliver
DL2ARN,Wolfgang
DL2ASG,Martin
DL2AWA,Peter
DL2BCY,Michael
DL2BIS,Bob
DL2BMI,Wojtek
DL2BRN,Siegmar (Sig)
DL2CHN,Juergen
DL2DBU,Norbert
DL2DRM,Reinhard
DL2DSA,Alex
DL2DUA,Wolfgang (Wolf)
DL2DVE,Andy
DL2DWC,Roland
DL2DWP,Klaus-Urlich
DL2DXA,Bernd
DL2EEJ,Paul
DL2EF,Frank
DL2FAZ,Sigrid
DL2FCN,Bodo
DL2FI,Peter
DL2FMK,Martin
DL2GGE,Ernst
DL2GW,Winfrid
DL2HRE,Edgar
DL2HRF,Tom
DL2HS,Reinhard
DL2HWA,Dietmar
DL2HWH,Bernd
DL2HWI,Dietmar
DL2HWX,Peter
DL2HX,Hans
DL2IAD,Wili
DL2IAJ,Stefan
DL2IA,Klaus
DL2IAL,Ovi
DL2JAA,Karl-Heinz
DL2JES,Erhard
DL2JQT,Jano
DL2JRS,Rolf
DL2JX,Erik
DL2KAL,Wilhelm
DL2KAS,Hans
DL2KL,Klaus
DL2KUA,Lothar
DL2KUZ,Joachim
DL2KZA,Uwe
DL2LFH,Jan-Martin
DL2LQC,Falco
DL2LRT,Lothar
DL2MY,Renate
DL2NAI,Israel
DL2ND,Uwe
DL2NOM,Karl
DL2NO,Wolfgang
DL2OE,Michael
DL2QA,Elmar
DL2RMC,Thomas
DL2RMM,Jens
DL2RNF,Fritz
DL2RNS,Norbert
DL2RNT,Wolfgang
DL2ROT,Klaus
DL2RPS,Klaus-Peter
DL2RSI,Henry
DL2RTU,Helmut
DL2RUF,Juergen
DL2RVL,Rainer
DL2SAX,Harald
DL2SBA,Didi
DL2SCH,Juergen
DL2SUB,Werner
DL2SUS,Ron
DL2SWB,no name
DL2SWN,Klaus
DL2TM,Henry
DL2TR,Dirk
DL2UP,Manfred
DL2UR,Franz
DL2UV,Klaus
DL2VBN,Bernd
DL2VK,Reiner
DL2VNL,Hanno-klaus
DL2VV,Peter
DL2VWR,Gerd
DL2WA,Thomas
DL2XL,Karl
DL2YBF,Wolfgang
DL2YBG,Klaus-Peter
DL2YKH,Heinz
DL2ZBO,Harald
DL32EUDXF,Radioclub EUDXF
DL35SDR,Special call (Martin)
DL3AKM,Friedrich
DL3ALK,Manfred
DL3AMB,Manfred
DL3AO,Rolf
DL3APO,Peter
DL3AQJ,Bernd
DL3ARH,Andreas
DL3ARS,Rudi
DL3AVI,Josef
DL3AWI,Wilfried
DL3AY,Hans-Joachim
DL3BBN,Peter
DL3BCD,Hinrich
DL3BCU,Wolfgang
DL3BQV,Juergen
DL3BRA,Horst
DL3BUE,Joerg
DL3CX,Juergen
DL3DBN,Dorothea
DL3DW,Daniel
DL3DXF,Gerhard
DL3EAD,Rolf
DL3ECN,Mike
DL3FCG,Michael
DL3FT,Oliver
DL3GAZ,Sebastian
DL3GCB,Bernd
DL3GER,Gerd
DL3GJ,Grzegorz (greg) 
DL3HAE,Wolfgang
DL3HAH,Kai
DL3HJG,Hansjuergen
DL3HQN,Ingolf
DL3HRL,Roland
DL3HWO,Herbert
DL3HXD,Guenter
DL3HXS,Stefan
DL3HXX,Lothar
DL3IF,Leif
DL3JAB,Andreas
DL3JFN,Hans-Juergen
DL3JJ,Ralf
DL3JON,Winfried
DL3JPN,Steffen
DL3JRA,Rainer
DL3JST,Joerg
DL3JVN,Kuni
DL3KC,Hans-Georg
DL3KUM,Uwe
DL3KVC,Eckard
DL3KVT,Jan
DL3KWF,Hardy
DL3KZA,Bertel
DL3LA,Andreas
DL3LK,Volker
DL3LN,Hans
DL3LO,Andre (Andy)
DL3MBE,Hans
DL3MBE,Hans Juergen
DL3MBJ,Frank
DL3MBX,Oldrich
DL3MF,Juergen
DL3MGN,Joerg
DL3NAA,Peter
DL3NM,Hannes
DL3OBE,Wilfried
DL3OBJ,Frank
DL3OM,Harry
DL3PZ,Manfred
DL3RAD,Heinz
DL3RAH,Rebecca
DL3RBF,Franz
DL3RDM,Max
DL3RHN,Ruediger
DL3RR,Robert
DL3SBA,Lutz
DL3SKY,Juergen
DL3TC,Gerd
DL3TU,Roman
DL3UB,Ulf
DL3VTA,Michael
DL3VTL,Volker
DL3WP,Heinz
DL3YA,Guenter
DL3YEE,Klaus
DL3ZAI,Joerg
DL3ZID,Eberhard
DL3ZI,Manfred
DL3ZM,Hans-Georg
DL40RCE,SES 40th Anniv.of Erwitte
DL4ABO,Mike
DL4AC,Uwe
DL4ALI,Steffen
DL4AN,Alexander
DL4ASJ,Gerhard
DL4ASK,Guenther
